Sample,  Mg ,  P  ,  K  ,  Ca ,  Fe ,  Cu ,  Zn ,  Rb ,  Sr ,  Mo ,  Cs  ,  Ba  
car,3750,29100,48500,40100,20.1,1.21,119,169,10.5,1.08,2.93,5.26
car,3910,30700,50500,41400,13.1,0.978,122,175,10.4,1.07,2.98,5.49
car,3920,30500,50100,41300,28.5,1.08,120,174,10.9,1.19,2.85,5.32
car,3990,30900,51400,41700,36,1.13,128,180,10.8,1.42,3.01,5.95
car,3970,30700,50200,41600,319,2.22,145,177,11.1,2.12,2.97,103
car,4070,32300,52900,42800,15,1.13,130,186,11.3,1.37,3.26,6.16
car,4010,31200,52100,42900,13.3,0.996,123,181,11,1.05,2.92,5.92
car,3910,31100,51700,41400,17,1,122,180,11.1,1.11,2.99,5.87
car,4020,35800,58100,44300,44.6,6.45,127,180,11.8,1.26,2.909,6.48
plant,4180,38800,63100,46900,23.3,2.46,133,192,14.4,1.29,0.96,7.47
plant,4510,40300,66600,50200,113,2.64,133,203,14.4,2.52,1.05,7.08
plant,5440,49300,80500,60500,30.3,3.8,169,247,17.7,1.53,1.21,10.2
plant,5220,47700,77100,58700,87.6,2.71,157,237,16.9,1.68,1.17,8.73
plant,4150,36600,59400,45900,20.6,2.28,120,183,14.3,1.35,0.946,6.78
scene,3770,29000,47800,40400,19.5,1.22,119,169,10.5,1.02,2.81,5.07
scene,4530,35100,58300,48000,15.7,17.5,147,203,12.2,1.53,3.38,6.61
scene,3760,33900,54600,42100,21.7,2.77,121,169,12.1,1.31,2.843,6.58
scene,3830,29700,48800,40500,58.6,5.01,141,171,10.6,4.25,2.86,5.77
scene,3890,28900,47800,41100,34.1,4.06,133,170,10.5,1.02,2.86,5.59
scene,3980,30800,51300,42900,12.8,1.34,121,179,11,1.06,2.91,5.73
